Order ID,Order Date,Ship Date,Ship Mode,Address,Region,Customer ID,Customer Name,Segment,Product ID,Category,Sub-Category,Product Name,Quantity,Discount,Buy Price,Price Per Each
152156,2016-11-08,2016-11-11,Second Class,"Henderson, Kentucky, United States - 42420",South,CG-12520,Claire Gute,Consumer,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,0.0,130.98,151.9368
152156,2016-11-08,2016-11-11,Second Class,"Henderson, Kentucky, United States - 42420",South,CG-12520,Claire Gute,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,0.0,243.98,317.174
138688,2016-06-12,2016-06-16,Second Class,"Los Angeles, California, United States - 90036",West,DV-13045,Darrin Van Huff,Corporate,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2,0.0,7.31,10.7457
108966,2015-10-11,2015-10-18,Standard Class,"Fort Lauderdale, Florida, United States - 33311",South,SO-20335,Sean O'Donnell,Consumer,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,0.45,191.5155,114.90929999999999
108966,2015-10-11,2015-10-18,Standard Class,"Fort Lauderdale, Florida, United States - 33311",South,SO-20335,Sean O'Donnell,Consumer,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2,0.2,11.184000000000001,12.4422
115812,2014-06-09,2014-06-14,Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,0.0,6.9799999999999995,9.004199999999999
115812,2014-06-09,2014-06-14,Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,OFF-AR-10002833,Office Supplies,phones,Newell 322,4,0.0,1.82,2.3114
115812,2014-06-09,2014-06-14,Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,0.2,151.192,166.3112
115812,2014-06-09,2014-06-14,Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,0.2,6.168,8.0955
115812,2014-06-09,2014-06-14,Standard Class,"Los Angeles, California, United States - 90032",West,BH-11710,Brosina Hoffman,Consumer,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,0.0,22.98,29.874
